,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam,MachineScore
9,CLUBS,,B2,3691822,10,T4719164,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I1,A-NE,3543,,,,2021-06-20,3-A-NE
11,CLUBS,<p>Estomado Principal:</p><p>A mis compañeros y a mí nos gustaría iniciar un club de música.  El club de música se llevaría a cabo después de la escuela y sería un lugar para que los estudiantes se expresaran.  Los estudiantes pueden traer sus instrmentos para tocar entre ellos.  También usaríamos la sala de la banda para tener instrumentos adicionales a mano en caso de que un estudiante quiera tomar prestado un instrumento o aprender uno nuevo.  Me encanta tocar la guitarra^ pero no tengo a nadie en casa con quien tocar^ así que esto daría oportunidades para que otros estudiantes como yo vengan a tocar con otras personas.</p><p>Un club de música como este sería muy beneficioso para la escuela.  Creo que un club como este no solo aumentaría la felicidad en la escuela entre los estudiantes^ sino que también acercaría a los estudiantes.  En este club los estudiantes podrían conocer gente nueva y hacer muchos nuevos amigos.  Se les asignarían proyectos para trabajar con gente nueva y escribir una canción.  Al final del año podríamos reunir a todos los grupos para compartir canciones y hacer un concierto.  Incluso podemos hacer que los padrias asistan y escuchen.</p><p>Sinceramente Josh</p>,B2,3745356,45,B4783089,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-MM,473,,,,2021-06-20,2-A-SE
12,CLUBS,<p>Hola Principio^</p><p>Nos gustaría iniciar un club de ajedrez. El club de ajedrez le daría a los estudiantes en compeciones. Nos gustaría comenzar esto ya que es importante que los estudiantes aprendan ajedrez. El Ajedrez involucra el pensamiento crítico que es una habilidad útil para los estudiantes.</p><p>El club ajedrez tendrá un impacto positivo en la escuela. Aprender ajedrez será una buena habilidad para la vida. Se dice que para ser acadèmico debe jugar al ajedrez. El Ajedrez desafía la mente y crea pensiamiento. Los estudiantes se beneficiarán de esto y usarán estas habilidadas en el trabajo escolar. El club de ajedrez será una buena adición a nuestra escuela.</p><p>Cielo Despejado^<br></p><p>Roberto</p>,B2,3707452,70,J4737468,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-MM,3400,,,,2021-06-20,2-A-SE
13,CLUBS,<p>Hola^ </p><p>Los ninos de tu esculla quieren una club de diversidad. Porque de los eventos en el mundo^ los estudiantes son enjoado y frustrado. No es possible para ellos a ayudar personas que viven en otros países y es dificil para los adoclesentes a ver todos de los problemas en sus telefones mientras ellos saben que es impossible a ayudar. Porque de esto^ los estudiantes queiren a trabajo en un club. Es una solucion a sus problemas^ proque en esté club es possible para ellos a ayudar el mundo. </p><p>En esté club es possible para estudiantes normales a ayudan y cambio el mundo. Pero^ ¿como es possible? Simplimente en esté club los estudiantes quieren a hablar de los problemas social y trabajo en su escuella así que otros estudiantes tienes informacion de los problemas. Conversacion es muy importante en los problemas social^ mas de la tiempo personas no tiene informacion de la problema y porque de esto ellos no tiene una opinion. Si tu no tienes una opinion en una problema probablamente no es una problema que tu queries a ayudar.  Tambien es muy commun para muchos personas a tiene una opinion se una problema sin una educaccion en la problema. Si no hay informacion aproprado muchos personas tiene opinons problamaticos y tóxico. En esté club^ estudiantes quieren a tiene conversacion y tambien tiene un educacion en problemas de el mundo. Con este^ es possible para ellos a cambiar el mundo. </p><p>Gracias para tu tiemp. </p>,B2,3741760,19,L4776375,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-MM,4294,,,,2021-06-20,2-A-SE
14,POP_CULTURE,,B2,3708059,50,T4738139,A group of exchange students from Mexico is coming to your school. They want to understand the trends that are currently popular in your school.Write a blog post in Spanish about what is popular in your school and community. In two well-developed^ organized paragraphs^ be sure to address the following topics:	Describe the current clothing trends in your school community. Write about what is popular for students to wear both in and outside of school.	Many communities have places where young people like to get together. Think of a place like this in your community. Tell a story about a time when you or someone you know spent time there and describe everything that happened from beginning to end.,A,1,I4,A-NE,171,,,,2021-06-20,3-A-NE
15,CLUBS,<p>Hola Principal.</p><p>Un grupo de estudiantes que incluye yo quieremos crear un club. Queremos crear un club de matematicas porque al momento no hay un club de matematicas en nuestra colegio. Todos los otros colegios en nuestra region tiene un club de matematicas^ somos en unico colegio que no tien un club de matematicas^ y creemos que es muy importante que creamos un club de matematicas por neustra colegio. </p><p>La clase de matematicas no es sufficiente matematicas por todos los estudiantes^ algunos estudiantes quiere estudiar mas matematicas para obtener mejor notas o simplemente saber mas matematicas. Si creamos este club de matematicas los estudiantes van a ser mas intelligente y van a obtener mejores notas^ mejorando la imagen del colegio. Si creamos este club vamos a formar un equipo de matematicas que participa en partidos de matematicas con otros colgios^ vamos a revisar nuestras notas y trabajo del clase^ y vamos a apprender nuevo matematicas que no apprendemos en el clase. </p><p>Gracias por todo tu ayuda^ el club de matematicas</p><p><br></p>,B2,3743142,51,K4778206,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-MM,4428,,,,2021-06-20,1-A-M+
16,COMMUNICATIONS,<p>Los adultos y los jovenes communican en maneras similares pero que tambien son muy differentes. Los adultos usualmente communican en maneras mas formales que los jovenes. Los jovenes usualmente communican en maneras menos formales que los adultos. Los jovenes algunos veces usan lenguaje que raro o usan grammatico que no es correcto. Los adultos intentan a jusar grammatico correcto y lenguaje que es facil para entender para que se pueden communicar bien con otras personas. Los jovenes se hablan mas con sus amigos y menos con estranjeros^ y por eso no se ponen tanto attencion al grammatico que los adultos.\<br></p><p>Cuando hablo con otros jovenes de mi edad que conozco usa lenguaje que es muy facil y rapido para decir. No pongo tanto attencion para ver si he usado el tenso correcto o si he usado el palabra en la manera correcto. Solo quiero communicar mi mensaje en la manera mas facil para mi. Una vez cuando estaba hablando con mi professora olvide con quien estaba hablando y uso la lenguaje que usualmente uso con mis amigos. Cuando hablo con mis amigos solo digo sus nombres cuando quiero llamarlos. Por accidente dici el nombre de my professora y me olvide de decir Senora. Ella enfado mucho porque mo es muy respetable llamar un adulto que no es su amigo por nombre sin decir Senor o Senora.</p>,B2,3743142,51,K4778206,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I5,A-MM,4428,,,,2021-06-20,2-A-SE
17,COMMUNICATIONS,<br><p>En el tiempo de technologia^ la tipo de comunicacion commun es muy differente de la tipo de comunicacion de la pasado. Porque de esto^ la moda de comunicacion de adultos es muy differente a la moda de comunicacion de los adolecentes. Pero^ porque de la poplularidad de la telephone movil^ es necessario para adultos a usar una tipo de comunicacion different de sus pasado. No es una problema muy grande^ pero tambien no es pequna. Es dificil para comunicacion perfecta con adultos y adoclecentes porque adolecentes usar telephones a escribio sus amigos como ellos hablar^ pero adultos usar sus telephones como ellos son escirbiando una letra. Es possible para los adolecentes a usar emocions en sus textos y ellos tambien puedan leer los emmociones en un texto. Pero con adultos no es possible. Ellos escribio muy efficonados^ pero no es mucha emocion a los adolecentes. O en otros palabras^ la emocion que ellos escribio es en una otra lingua. </p><p>Por enjemplo^ a los adultos este^ |...| es como este |-| a los adolecentes. Asi que los palabras^ |Es peligroso...| a los adultos simplimente es informacion. Pero a los adolecentes los palabras son diciendo^ |Es peligroso proque yo quiero a assasinar tu. Despues este noche^ sus casa es con el diablo o con los dios. ¡Voy a matar tu!| Es una enjemplo muy dramatico^ pero es la effecto de la differencia en comunicacion. Mi amiga era hablando con su jefe en su telephone a saber que tiempo para ella a va a trabajo. Ella fue una nueva persona en la compania y era muy nerviosa. Pero cuando ella texto con su jefe fue horrible^ ella pensaba que su jefe no le gusta ella. Pero cuando ella va a su trabajo para la primero dia^ su jefe le gusta ella mucho! Todo fue porque de la differencia en communicacion de adultos y adolecentes. </p>,B2,3741760,19,L4776375,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I5,A-SE,4294,,,,2021-06-20,1-A-M+
18,COMMUNICATIONS,<p>Donde vivo los adultos se comunican llamando por teléfono^ enviando mensajes de texto y enviando correos electrónicos.  También donde vivo los adolescentes se comunican por texto^ facetime y medios sociales. Las redes sociales pueden afectar al idioma^ ya que puede ser difícil mostrar sentimientos a través de él. La comunicación se puede cambiar y significa algo difeente con el use de esto. Es mejor utilizar las formas tradicionales de comunicación para que pueda mostrar sus expresiones.</p><p style=|text-align: left:|>Por ejemplo^ en el pasado la gentese comunicaría escribiendo cartas. Esta comunicación era difícil de mostrar sentimientos. Ahora con llamar con un teléfono es más fácil mostrar sentimientos La gente no escribe letras mucho más porque toma mucho tiempo escribirlas y enviarlas. Llamar a alguien al teléfono es mucho más fácil.<br></p>,B2,3707452,70,J4737468,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I5,A-SE,3400,,,,2021-06-20,2-A-SE
28,POP_CULTURE,,B2,3708344,68,J4738436,A group of exchange students from Mexico is coming to your school. They want to understand the trends that are currently popular in your school.Write a blog post in Spanish about what is popular in your school and community. In two well-developed^ organized paragraphs^ be sure to address the following topics:	Describe the current clothing trends in your school community. Write about what is popular for students to wear both in and outside of school.	Many communities have places where young people like to get together. Think of a place like this in your community. Tell a story about a time when you or someone you know spent time there and describe everything that happened from beginning to end.,A,1,I4,A-NE,171,,,,2021-06-20,3-A-NE
