,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam,MachineScore
35,CLUBS,<p>para aser un club en la escula primero tiense que dar una rason porque es importante este club. por ejemplo un club de drama es para los estudantes que qurine ser actores entoces como puede ayudar a los estudantes este club. tambien tenie que tener timpo para aser un club fucunar por ejemplo se tienes que aser mucha tarea no sera buno aser un club que te va destraire. otra cosa es como va ayudar estudants afora del club por ejemplo el yearbook club ase el year book para que todos puden ver sus fotos para recordarse de el ano. y ultimo como ayuda a los afera de la escula^ por ejemplo los deportes usan escula contras esulas entonses los que no so de tu esqula todavia puden benir a ver.</p><p><br></p>,B2,3746557,45,M4786421,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I3,A-NE,3389,,,,2021-06-25,2-A-SE
36,CLUBS,<p>Hola principal^</p><p>Los estudiantes en tu escuala quieren empezar un organizacion. El organizacion es sobre el medio ambiente. Ellos quieren empezar un jardin o casa de verde para plantes. El jardin o casa de verde incuid plantas local y exotico. Los miembros de la organizacion pueden plantar las plantas cuando ellos empecen el organizacion y cada semanas despues^ ellos fue tomar cuidar de los plantas. Es incluid da agua a los plantas y para el jardin^ tiene mucho rayas de sol para los plantas. Con los miembros traban cada semena^ los plantas puedo vivir un bien vida. </p><p>Es organizacion es bien para la escuela porque es un poprtunidad para los miembros aprenen sobre las plantas y responisbilidad para toman cuidar de las plantas. Tambien^ cuando el jardin o casa verde tiene grande plantas^ el medio ambiente cerca de la escuela es muy bonito. Si tu hubiere  aceptido el oragnizacion antes^ el escuela habría mas bonita ahora. Ademas^ los miembros puenden tomar los lecciones de ellos aprenden durante el organizacion y plantan los arboles o ortos plantas en el mecio ambiente afuera de la escuela. Es muy importante para el medio ambiente tiene mas plantas especialmente los arboles porque el clima cambiar es mal porque deforestacion.  Con mas arboles o plantes en general^ el medio ambiente  pueden ser mejor. </p><p>En conclusion^ Senor principal^ yo recomiendo que tu aceptas el organizacion de medio ambiente. El jardin es bien para los miembroes^ el medio ambiente y el presentacion de las escuela. </p><p>Gracias^</p><p>Los miembros futuros</p>,B2,3746491,22,S4786203,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-SE,3389,,,,2021-06-25,1-A-M+
37,CLUBS,<p>Querido principal de la escuela^</p><p>Creando clubs crea una oportunidad magnifica para todos los estudiantes. Yo estuve pensando de una idea perfecta sera creando un club de verde en que consiste en reducir^ reutilizar^ reciclar. Este club podría ser enfocado en ayudando nuestro medio ambiente porqué es peligroso para el ambiente si nosotros no lo cuidamos. En este club^ los estudiantes pueden crear consciencia y ser mas familiar con los problemas alrededor del mundo sobre el peligro de no cuidando nuestro planeta. Tambíen^ este club tendrá un impacto positivo en la escuela porqué actividades sería implementado y contribue beneficios para el ambiente. Actividades que pueden ser implementado incluye plantar afuera en el patio de la escuela^ reutilizar cosas como vidrio^ papel^ latas^ bolsas de plástico^ y la lista continua. Además^ podemos poner papeles en las paredes para alertar los estudiantes si tengan ropa que no usen en la casa^ para traerlo y podemos reutilizar o  para donar. Addicionalmente^ queremos recuadar dinero para donar a las caridades de buen causas. Ojalá podriamos ser un buen ejemplo para otras escuelas y ellos pueden siguir en nuestro direción. En el final^ la meta es para beneficar el ambiente^ educar nuestros estudiantes sobre peligros de falta de cuidado a nuestra planeta^ y crear consciencia en general para este mundo sera un mejor lugar. Gracias por su tiempo y espero que te gusta mi idea de un club nuevo.</p><p>Gracias^ Nadia.</p>,B2,3741017,21,Y4775171,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-MM,3543,,,,2021-06-25,1-A-M+
38,CLUBS,<p>Qúerido Principál^</p><p>Le escribo esta carta de párte de la multitud de estudiantes asistíendo a esta escúela. Creémos qúe sería de gran beneficío crear un clúb hécho para asistír a los estudiantes con sús tareas y cualqúier otró problema qúe tengan. Creáremos ún sistema pára trabajar de úna forma eficaz. Qúeremos tómar párte en mejorar la escúela y creémos qúe esta es la mejor manéra.</p><p>Al creár éste grupo^ estáremos ayudando a mas estudiantes con sus dificultades. Hay tíempos cuando no podemos entender las tareas y nos frustramos al no poder hacer la tarea. Al tenér este grupo^ los estudiantes buscarán ayuda de otro estudiante y mutuámente apredeneran más. Este grupo nos acercara cómo estudiantes y aprederémos qúe tambien podémos apoyárnos de otras personas. Espero que pueda entender nuestro punto de vista.</p><p>Sús qúeridos Alumnos</p>,B2,3734915,66,E4766553,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,A,A-MF,4428,,,,2021-06-25,2-A-SE
42,FAMOUS PERSON,<p>hola vicente fernandes queria avesarte si puedes enie a toca en mi esquela new town high school. te quria invitar para ensenar a todos el mejor cantante de mexcio. quria se puedes a tocar aqui par una hora y queria se pudes tocar tus mejor cansones. ey en el final pudes tomar photos con los estudantes.</p>,B2,3746557,45,M4786421,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I3,A-NE,3389,,,,2021-06-25,3-A-NE
43,FAMOUS PERSON,<p>Querido Prince Royce^</p><p>Ojala que todo va bien contigo. Me llamo Nadia y me encanta escuchar tu música siempre. Yo pienso que tu estilo de música es muy unica y estaba preguntando si podrías cantar para mi escuela entera. En mi escuela hay muchos aficionadas que aman tu música tambíen. Podría ser una experiencia magnifica para todos y impactando la vida a muchos. Una experiencia inolvidable^ increible^ y excelente para todos los estudiantes y profesores. Podría ser un regalo para nostros muy especial y un fin magnificante para terminar este año. </p><p>Si llegarias a nuestra ciudad tu puedes quedarte en un hotel muy cerca de nuestra escuela. Hay mucha comida y puede ser muy divertido. Tambíen^ si quisieras visitar Nueva York si dicides a visitar^ puedes tomar el tren porqué la estación se queda muy cerca. Hay muchos opurtunidades alla y puedes aprender sobre un ciudad nuevo. Muchos aficionadas vuelven locos por ti y podría ser un gran sorpresa. Addicionalmente^ puedes cantar en nuestra escuela y podemos ordenar comida para todos y tener un tiempo fantastico. Mi canción favorita por ti es |Corazon Sin Cara|. Me encanta el ritmo^ el significo de la canción^ y amo que es tan pegadizo. Los instrumentes usado en tus canciones son un talento fabuloso. Los estudiantes aqui quieren escucharte y esperamos que tengas para decir. Gracias por su tiempo y leyendo mi letra.</p>,B2,3741017,21,Y4775171,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I5,A-SE,3543,,,,2021-06-25,2-A-SE
45,FAMOUS PERSON,<p>Querido Sr.Jason Frenn^</p><p>Me gustaria cordíalmente invitarlo a mi escuéla CCTS. Desde la primera ves qúe lo escuche hablar^ supé qúe muchas otras personas podrían aprender de ústed. Sús chárlas siempre son múy motivadoras y tódos pueden aprender algo de usted. Siempre hace reír a la audiencia pero núnca se olvida de qúe haíga úna leccion para aprender. Usted a sído ún motivador muy grande en mi vida y qúiero qúe lo sépa.</p><p>Al llegar a la ciudád^ primero me gustaria presentarle a mi famillia y invitarle ún plato de comida. Despues tendria la oportunidad de conocer a mi escuela y a los maestros. Mi escuela es ún poco grande entonces yo creo qúe habrian dós turnos para qúe de sú charla. Despues de la charla^ me gustario llevarlo a comer para agradecerle por sú tiempo. Al final^ lo acompañaria al aireopuerto y me despediria de ústed úna ves mas y agradercerle por todo. </p><p>Espéro qúe recíba bien esta cárta.</p><p>De su amiga ^Karen</p>,B2,3734915,66,E4766553,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,A,A-MF,4428,,,,2021-06-25,2-A-SE
46,FAMOUS PERSON,<p>Holá Jennifer Lopez^</p><p>¿Puedo llama tu JLo? Tu eres mi celebridad de hablando espanol favorita. Me encanta todos de tus canciones. Yo pienso que tu eres mejor celebridad en el mundo. Tu eres un artista fantastica. Tu puedes cantar y bailar en maneras perfectas. Para estos razones^ yo quiero tu visitas mi escuela. Otras personas en mi escuela encantan tu mismo yo. Tambien^ los profesoras encantan tu musica tambien. </p><p>A mi escuela^ todos estudiantes pueden ser en el gimnasio y tu puedes performar un cancion. Durante el cancion^ tu puedes mostra nuevo o clasico maneras de bailando. Todos personas pueden encantan cuando tu performas.Despues tu performas^ los estudiantes^ incuid yo^ quieremos reciben fotos y signaturas de tu. Un otro actividad tu puedes completar cuandu tu visistas mi escuala es un celebracion de cultura de hispanohablantes paises. En mi escuela^ nosotros tenemos un tadicion cuando nosotros cantamos el cancion nacional de todos hispanohablantes paises. Tu eres un cantado fantasitica y tu puedes cantar con ellos. Esun celebracion fantastica de las culturas poque ellos tambien bailan similar a el manera de personas en los paises bailan. Es un actividad y tradicion muy divertido. </p><p>Enconlusion^ yo pienso que tu debes visitan mi escuala en Nuevo Jersey en los Esatod Unidos.</p><p>Gracias^ </p><p>kelly</p>,B2,3746491,22,S4786203,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I5,A-SE,3389,,,,2021-06-25,2-A-SE
90,CLUBS,<p>Hola^</p><p>Algunas estudiantes quieren comenzar un club sobre los derechos de las mujeres. Es un tema importante sobre el que nos gustaria educar a la escuala. Hablamos sobre la historia de la misma y donde se encuentra actualmente. </p><p><br></p>,B2,3650560,46,M4673171,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I4,A-SE,4294,,,,2021-06-25,3-A-NE
91,COMMUNICATIONS,<p>Los adultes generalmente hablan muy formalmente. La mayoria de los adolescentes usan jerga.</p>,B2,3650560,46,M4673171,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I4,A-SE,4294,,,,2021-06-25,3-A-NE
