,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam,MachineScore
10,CLUBS,<p>Hola (nombre de principal)^</p><p>Mis amigos y yo querían crear un club. ¡Todos los estudiantes puden ser parte de este club! Este club es para los estudiantes pueden conocer otros estudiantes mas. La escuela es muy grando y mucha personas de el noveno grado no saben un otra persona. El club no mas es una ayuda por los estudiantes. El club tambien es por los otros grados en la escuela. Siempre estoy buscando una nueva amiga o alguien que yo quiero hablar con. Yo quiero que el club siente como una familia. </p><p>Este club dar un impacto positivo a la escuela porque es un tiempo para conocer un otra persona. Mis amigas y yo quisimos hacer un evento para mas personas pueden estar parte de este club. Cuando entres un nuevo area como los estudiantes de noveno grado es difícil hablar relajada. Este club es para que no hace difícil a crear amigos. Encargó de los eventos son los grados mejores porque ellos conocen los maestros y saben todo lo que necesitas para la escuela. </p><p>¡Gracias!<br></p>,B2,3741137,51,Y4775343,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-SE,4294,,,,2021-06-30,2-A-SE
11,CLUBS,<p>Director^ </p><p>Los estudientes de la escuela quieren empezar un activitad para hacer despues de la escuela. Yo no se que es pero tienen una gran idea. Me imagino que va a ser algo que ayudé la escuela como un deporte. Me gustaria si los apoyen para cumplir esta meta de comenzar una actividad. </p><p>Este proyecto lo van a ayudar para conectar con la escuela y la comunidad. Pero necesitamos mas gente para hacer esta gran idea una realidad. Un deporte puedia ayudar los estudientes ser menos flojos y que se vayen a salir afuera. Mis compañeros de la escuela pueden vender cosas para donar dinero a esta causa. Pero necesitamos su vos para aserlo un realidad. </p><p>Muchas gracias.</p>,B2,3739602,44,Z4773044,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I4,A-NE,3389,143.0,4587.0,,2021-06-30,2-A-SE
12,CLUBS,<p>Saludo Sr. Principal^</p><p>Quiero empezar un club en nuestra escuela. Tenía algunas ideas para los clubes. Me gustaría un club de arte^ club de fútbol^ y un club</p>,B2,3739295,14,G4772693,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I4,A-SE,4294,473.0,,,2021-06-30,3-A-NE
13,COMMUNICATIONS,,B2,3739295,14,G4772693,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I4,A-NE,4294,473.0,,,2021-06-30,3-A-NE
14,COMMUNICATIONS,<p>Jovenes y adultos normalmente se comunican con teléfono^ pero los jovenes saben mas. Adultos casí no usan aplicaciones sociales como Instagram y Snapchat. Es differente que los jovenes porque ellos no saben como usar dibujos chicos para expresar su emocion. Yo casi siempre uso el Instagram para hablar con mis amigas. Realmente^ yo casi no uso el correo electronico ó de papel. Cuando los jovenes hablan con su padres hay veces hay confusion porque no se entiende unos a otros.</p><p><br></p><p>Usando el telefono es muy differente comparado a hablar con alquien cara a cara. Es facil de confundir el tono de una persona cuando estas el texto. Pero hay veces que es dificil hablar con alquien personalmente. Con Covid^ se puede hacer las dos cosas^ hablar en linia y con una camara.</p><p><br></p>,B2,3739602,44,Z4773044,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I4,A-SE,3389,143.0,4587.0,,2021-06-30,2-A-SE
15,COMMUNICATIONS,<p>Adultos y los ninos comunicad en diferente maneras. En hoy dia los ninos usen celulares y pone que los frases son cortas. eso es muy diferente cuado adultos comunican con un otro adulto. Ellos tambien usan celulares pero no saben todo que un celular puede hacer. Donde yo vivo muchas de las personas no pueden hablar en español y eso puede hacer difícil por otras personas que solomente saben inglés. Muchas ninos no quieren prender nada porque los celulares son los unicos cosa que ellos realmente quieran. </p>,B2,3741137,51,Y4775343,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I5,A-SE,4294,,,,2021-06-30,2-A-SE
26,FAMOUS PERSON,<p>Hola Selena^</p><p>Yo quiero invitar Selena porque ella tiene mucha información que puede ayudar muchísimos personas no mas en mi escuela pero tambien en todo el mundo. Cuando ella viene^ ella va estar en la televisión para que todo el mundo puede ver ella. </p><p>Yo querio invitarte a mi escuela para hablar sobre quien personas puede confiar en y caules no. Esto es muy importante porque cuando yo y mis amigos crecen y querimos conocer otras personas^ querimos saber cuando sabemos que una persona es malo. Tu eres muy famosa en todos partes de el mundo. Muchas personas van a eschuar a ti. Cuando vienes a mi escuela vas a hablar por este topico. Tienes suficiente tiempo para hacerlo. cuando terminas de hablar^ vamos a crear un postre y inventó un roboto que pueden ayudar personas que no son en situaciones buenas. Tu puedes crear letras para tú música y todo la escuela puede escucharlo. Esta va hacer un movimeinto^ pero no un chiquito momvimento^ pero un gran gran movimiento. Esto va a cambiar todo. </p><p>¡Gracias!<br></p>,B2,3741137,51,Y4775343,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I5,A-MM,4294,,,,2021-06-30,2-A-SE
45,FAMOUS PERSON,<p>Hola Shakira^<br></p><p>Yo te invito que vengas a mi escuela porque usted es la mas famosa persona que yo conosco. Usted es muy divertido porque cantas y bailas. Mis maestros les gustarian si usted vino a presentar.</p><p>Cuando usted llegue^ vas a mirar toda la escuela comenzando con la cafeteria. Despues va a ir a cada clase para mirar la vida de los estudientes normales. Cuando sea las doce^ iremos a comer con la mayoria de la escuela. Despues de eso^ si tiene tiempo^ vamos a tomar fotos. Cuando termine la escuela^ puedia hacer un concierto afuera para agarrar aire fresco. </p>,B2,3739602,44,Z4773044,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I4,A-NE,3389,143.0,4587.0,,2021-06-30,2-A-SE
46,FAMOUS PERSON,,B2,3739295,14,G4772693,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I4,A-NE,4294,473.0,,,2021-06-30,3-A-NE
97,EDUCATION,<p>Hola^</p><p>En mi comunidad^ estamos muy fortunados de tener la opción de escuela pública o privada. Por ejemplo^ yo recibo una educación pública^ y no tengo que pagar dinero.  En mi pueblo^ hay 5 escuelas primarias públicas^ y están separados por donde vives. Estas escuelas enseñan kindergarten hasta el grado 6. Después vas a escuela secundaria por los grados 7 y 8^ y mi pueblo solo tiene uno escuela secundaria. Finalmente^ hay uno colegio público y tiene cerca de 1.400 estudiantes. El colegio enseña grado 9 hasta grado 12. Las ventejas de escuela público es que no pagan dinero^ y las reglas no son muy estrictas. Tambien^ hay escuelas primarias privadas^ como St. Mary's o The Cobb School Montessori^ que tienen estilos diferentes de enseñar. Muchos estudiantes que asisten escuela primaria privada también asisten colegio privado^ como Westminister^ Ethel Walker^ o Northwest Catholic. En estas escuelas^ tienen que pagar mucho dinero^ y puedes vivir en el campus.</p><p>En mi comunidad^ muchas estudiantes se graduan de colegio y van a la universidad. Pero universidad no es el único opcion. Tambien puedes tomar un año de no escuela para pensar un su futuro^ viajar^ o relajarse. Muchas veces^ los estudienates que toman este año van a universidad despues de uno o dos anos^ pero algunos estudiantes no asistir universidad. Es muy posible tener éxito si no asistes universidad y hay muchas carreras que no se requieren una educación de universidad. Pero muchas carreras se requiren este educación^ entonces muchas estudiantes van a universidad por cuatro anos^ o mas^ depende de su carrera. Finalmente^ puedes asistir la escuela de las fuerzas armadas para ser en los militares^ pero esto no es muy común.</p><p>Adios^</p><p>Erin</p>,B2,3735681,73,D4767517,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,A,A-MF,473,,,,2021-06-30,1-A-M+
98,EDUCATION,<p>En mi comunidad^ hay muchos tipos del escuelas y educación con beneficios y cosas malas. Para empezar^ escuela pública es una buena opción. Muchos beneficos incluir la reunión de personas que viven en su pueblo^ hay muchas profesores inteligentes^ tiene diversidad^ hay muchas actividades como deportes divertides^ y muy más. Pero^ puedo haber algunes negativos a escuela pública. Incluyen clases grandes cuándo de miedo para hacer preguntas^ no tiene más ayuda de su profesor por que muchas estudientes^ y puede ser difícil para hacer amigas. Un otro tipo de escuela es privado. En este^ personas hablan que todos reciben mas ayuda por causa de los clases pequeños^ grandes relaciónes con sus profesores^ y grandes expectativas para aprender bueno. Los negativos de escuela privado que no muchos personas^ es más caro de escuela pública^ y tiene más requistitos para picenciarse.</p><p>Después de la escuela secundaria^ hay muchos opciones para hacer. Una cosa popular es vaya a una universidad. Muchas personas gustan ir a una escuela lejos de casa^ y ver personas y comunidades nuevas. En los universidades^ personas estaban estudiaban para sus ocupaciónes como una profesora^ doctor^ abogados^ y más. Es posible tocar clases se universidades en línea^ pero es muy popular para ir en persona y vive en este. Además^ un otro camino después de escuela secundaria es para trabajar y hacer dinero. Muchos personas gustan dinero antes de vayan a universidad^ y es muy intelegente. Universidades son muy caros y muchas personas toman préstamos para vaya. Todos personas son diferentes y es bueno si tú no gustan un cuatro años escuela inmediatamente.</p>,B2,3735717,61,U4767553,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I4,A-SE,3400,4141.0,,,2021-06-30,1-A-M+
99,EDUCATION,<p style=|text-align: left:|>En mi comunidad^ hay varios tipos diferentes de educación. Puedes ir a una escueal pública^ a una escuela privada o puedes hacer la escuela en su casa. En la escuela pública^ usted puede encontrar sus amigos y muchas personas nuevas. También^ en la escuela de Simsbury y las otras escuelas públicas en mi comunidad^ tienen buenos profesores y ambientes. Sin embargo^ la educación en las esuelas públicas en mi comunidad no son buenas como las escuelas privadas. En mi comunidad^ escuelas privadas como Westminster y Loomis Chaffe tienen muy buena educación y profesores. Las escuelas privadas tiene otros beneficios como programas deportivos muy buenos y varias opciones para sus clases. Sin embargo^ para una desventaja^ las escuelas privadas cuestan mucho más dinero que las escuelas públicas y la escuela en casa. Para la escuela en casa^ los estudiantes se sienten muy seguros y cómodos en el ambiente de su casa. También^ esta opción no es expensivo y ayuda a salvar mucho dinero. Sin embargo^ algunos padres no son los mejores profesores y la escuela en casa para muchas interacciones sociales.<br></p><p style=|text-align: left:|>Después de que los estudiantes se gradúen de la escuela^ muchos de estes studiantes van a la universidad. En el colegio estes estudiantes aprenden más sobre que quieren hacer como un trabajo futuro. En la universidad^ los estudiantes hacen muchos nuevos amigos y hay muchas interacciones sociales. Muchos estudiantes irán al colegio para obtener un letrero de su universidad y obterner un trabajo que quieren.</p>,B2,3735701,1548,R4767537,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I5,A-MM,3947,,,,2021-06-30,1-A-M+
100,EDUCATION,<p> Buenos dias a todos^</p><p>      Mucho gusto! Les voy a contestar todas las preguntas para que sepan todo sobre los estudiantes y la educación en mi comunidad. Las diferentes escuelas en mi comunidad son públicas^ privadas^ o religiosas. Escuelas de primaria^ elemental^ secundaria^ y superior. Las diferentes opciones de educación son que puedes ir a la escuela si quieres^ no importa si eres inmigrante^ puedes ir a la escuela pública y tienes muchas oportunidades. Puedes ir a la universidad después de la escuela superior sin procupación alguna! Los estudiantes en mi comunidad logran conseguir becas. Las becas se las dan a estudiantes con excelentes notas^ si son muy buenos a los deportes^ por su familia^ y por si son hispanos. Lo bueno de tener la opurtunidad y bendición de ir a la escuela es que te abre la vida a muchas experiencias y oportunidades. Las escuelas en mi comunidad solo quieren lo mejor para sus estudiantes. Algo malo es que algunas escuelas tienen maestros racistas y ellos no ayudan a sus estudiantes debido a su nacionalidad^ color^ y raza. Al igual que su orientación sexual^ hay muchos profesores homofóbicos. Siempre los maestros van a esforzarse a que sus niños hagan lo mejor que puedan en sus estudios. Los profesores te ayudan a que no tengas ningún problema para poder ir al colegio. Ellos te asisten en encontrar ayuda financiera y estan ahí para ti emocionalmente. Las becas son muy buenas porque convierten los sueños en realidad para muchos estudiantes que se los merecen. Pero aveces lo malo de las becas es que no sabes que ganaste una o no sabes donde mirar y se te van las oportunidades ahi mismo sin tu ni saber. Otra cosa mala es que si te dan beca por hacer deportes y te caes o te lesionas^ ya no tienes beca. También relacionado con las notas^ si tienes buenas notas y las bajas^ puedes perder la beca. Tengamos en cuenta que una persona te puede llegar a distraer y causar que todas tus oportunidades con tu educación las pierdas. <br></p><p>    TÍpicamente^ los estudiantes donde yo vivo toman muchos diferentes caminos después que terminan la escuela superior. Una amiga mia se graudó de la escuela superior este año y ella va a ir a una universidad cerca de mi casa^ Trinity College. Ella va a tomar muchas clases para ser una mujer de negocios. Va a estudiar por alrededor de 8 años. Estudiará para su maestría y lo mas alto para su puesto. Se independizará y comprará una casa. Va a quedarse en la comunidad^ cerca de su familia y todaviá va a seguir con sus estudios. Planea formar una familia en su futuro después de terminar de estudiar^ como muchas personas en mi comunidad.</p><p><br></p><p>Muchas gracias por su tiempo!</p><p>Alanys Rivera</p><p><br></p><p>  </p><p>           </p><p><br></p>,B2,3735741,16,M4767577,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,A,A-MF,3400,,,,2021-06-30,1-A-M+
