,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam,MachineScore
3,CLUBS,<p>en el escuala en el spain es mucho divertido. en mi clase yo soy mucho trabajo porque en el escuala es mucho impotrante</p>,B2,3740453,3,V4774602,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,Below N4,A-NE,3389,,,,2021-07-01,3-A-NE
4,CLUBS,<p>¡Holá directora! Te escribo porque te quiero proponer una idea para la escuela. Quiero empezar un club de literatura. Yo y otro estudiantes queremos empezar este club porque cremos que este club puede ayudar muchos estudiantes y puede ser algo muy divertido para aser despues de la escuela. Yo hable con otros estudiantes y queremos mas tiempo para escribir estorias y compartir los. Muchas de los estudiantes no tienen computadores para escribir estorias en sús casas^ so este club puede dar ellos un oportunidad para mejorar en literatura. <br></p><p>Los estudiantes van a tener una nueva topica cada dos semanas para escrebir de^ este va ser el actividad principal del club. Cada viernes todos los estudiantes van a leer sus estorias al club y el que tiene el mejor estoria va recibir un premio. Este club va ser positivo para la escuela porque los estudiantes y yo estámos creciendo^ y cuando llegamos de la escuela vemos la television hasta el momento que nos vamos a dormir. Este club puede ser una nueva oportunidad para usar nuestero imaginacion en algo divertido. Este club va ser positivo para la escuela tambien porque es una acitividad mas que puede ayudar los estudiantes mejorar en literatura. En conclucion^ yo quiero empezar este club porque que creo que va a ayudar muchos estudiantes y va ser positivo para la escuela ¡Saludos directora!<br></p>,B2,3747011,61,C4788200,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-MM,3400,4141.0,,,2021-07-01,2-A-SE
5,CLUBS,<p>Al director de la escuela^</p><p>     Los estudiantes creen que un nuevo club sería bueno para la esuela. Ellos quieren un club del ajedrez. A los estudiantes les encantan jugar el ajedrez pero no tienen la capacidad de jugar en casa. Un club del ajedrez permitiría estudiantes jugar este partido y mejorar sus habilidades. El club sería bueno para los estudiantes que no son atléticos.</p><p>     El club de ajederz ayudaría los estudiantes hacer amigos nuevos. Un club de ajedrez es un buena opción para los estudiantes que no les gustan particpan en otros deportes después de la escuela. El ajedrez require mucho inteligence y los estudiantes que juegan se hacen más inteligente. Los estudiantes de este club competiría con otras escuelas y tendría las fiestas después de ellos ganan. Todo esto ayudaría los estudiantes ser más confiado en una situación social.</p><p>Gracias por tu tiempo^</p><p>AJ</p><p>     </p><p><br></p>,B2,3745323,50,T4782959,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I5,A-SE,4141,,,,2021-07-01,1-A-M+
6,COMMUNICATIONS,<p>     Los adolescentes usan las redes sociales para hablar unos con los otros pero los adultos prefieren hablar cara a cara. Los adolescentes usan aplicaciónes en sus teléfonos celulares como Snapchat^ Instagram^ and Facetime. Los adultos usan algunos aplicaciónes en sus teléfonos celulares como Facebook pero la mayor parte del tiempo los adultos le gustan escribir cartas y hablar en persona. A veces en las redes sociales es difícil de comprender otras adolescentes pero en persona es muy fácil de comprender los ideas de otros. </p><p>     Un ejemplo que los adultos no usan las redes sociales para comunicarse a menudo es que mi padre necesitaba ayuda para usar su teléfono celular. Él no sabía cómo enviar un correo electrónico o usaba Instagram. Mi padre se enojó con esta tecnología y dijo que se comunicando en persona era más fácil. Al final^ yo necesitaba communicarme por el teléfono celular para mi padre. </p>,B2,3745323,50,T4782959,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I5,A-SE,4141,,,,2021-07-01,2-A-SE
7,COMMUNICATIONS,<p>Comunicacion es muy importante en este mundo. Pero en los adolocentes y los adultos es muy diferente porque de la tecnologia. El nuevo tecnologia hace que puedes mandar mensajes en un segundo. Los adultos hablan en persona o ellos se llaman en el telefono^ y los niños mandan mensajes en sus telefonos o computadora. Estos diferente maneras de comunicar afectan las ideas que realmente queiren decir. Los adolescentes usan cosas como emojis y es posible que los adultos no entienden eso. Los adultos pueden hablar confianza en persona^ pero los adolescentes pueden tener dificultitades porque pueden tomar mucho tiempo que quieren dicir en un mensaje. </p><p>En el pasado^ gente no mas podian mandar mensajes en el correo. Y tomó mucho tiempo porque el transportacion más rápido era el tren. Tomó mucho tiempo para que las cartas llegaran a sú destino. So para arreglar esto^ alguien muy inteligente invento el telegram. Es un manera para gente en diferente partes de la nación pueden comunicar. Pero el telegram todavía era mucho tiempo^ so alguien invento correo electronico. El correo electrónico tomaba segundos para mandar un mensaje y despues de eso^ podias mandar mensajes en el teléfono mobile. Porque la comunicación era tan lento en el pasado^ las personas crearon muchas nuevas formas de comunicación para la gente. Ahora^ no mas tomá un segundo para mandar un mensaje en diferente partes del mundo.</p>,B2,3747011,61,C4788200,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I5,A-MF,3400,4141.0,,,2021-07-01,1-A-M+
8,COMMUNICATIONS,,B2,3740453,3,V4774602,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,Below N4,A-NE,3389,,,,2021-07-01,3-A-NE
15,FAMOUS PERSON,,B2,3740453,3,V4774602,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,Below N4,A-NE,3389,,,,2021-07-01,3-A-NE
16,FAMOUS PERSON,<p>¡Holá Bad Bunny! Queria preguntar si vendrías a mi escuela para dar un discurso. Tu musica es increible y yo quiero que tu hablas que todo es posible en este mundo. Tu creaste tu carrera profesional de musico de nada. Ahora tu eres el artista mas popular de la musica latina. Mi escuela tiene en populacion latino muy grande y creo que ellos van a emprender mucho de ustéd. </p><p>Mi escuela está en Ligonier^ Indiana. Cuando llegas^ vas a llegar en Fort Wayne^ Indiana. Ahí está tu hotél porque es muy bonito en ese ciudad. Te vas a quedar la noche y luego a las once de la mañana^ un Uber te ve llevar a mi escuela. Cuando llegas^ vas a dar tú discurso en el gimnasio de mi escuela. Yo quiero que hablas de como empezaste tú carera y como llegaste a este punto. Despues que hablas^ puedes tomar fotos con los estuidantes y maestros si quieres. Despues que terminaste tu discurso^ nuestro mayor de nuestro ciudad te va conocer. Luego mis directores y yo te vamos a dar un tour de Ligonier. Es muy chiquito pero es muy bonito y el historia es muy interesante. Despues te eso un Uber te va regresar a hotel para agarar tus cosas para que puedes regresar a tú casa. Bad Bunny^ muchas gracias por tu tiempo y espero que escucho de ti. Si tienes preguntas^ por favor no tienes miedo de preguntarme. ¡Que tienes un buen dia y saludos!</p><p><br></p>,B2,3747011,61,C4788200,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I5,A-MM,3400,4141.0,,,2021-07-01,1-A-M+
17,FAMOUS PERSON,<p>Hola Pedro Pascal^</p><p>      Tú eres uno de mis actores favoritos. Tú eres increíble en los espectaculos como Narcos^ Wonder Woman^ y Game of Thrones. Tu éxito es muy impresionante y yo quiero saber cómo tener éxito. Yo creo que tú puedes dar buenos consejos a mí y mi clase. </p><p>     Cuando tú visitas a mi pueblo y escuela^ puedes quedarte en un cuarto en mi casa. Primero^ te mostraré alrededor de la escuela. Conocerás a mis maestros y el director de la escuela. Entonces^ darás consejos a mi clase y nos contarás sobre tu vida. Hablaremos sobre actuación y otras carreras. Depués de esto^ veremos una de su películas increíbles. Al final^ tú y yo iremos a cenar en mi restaurante favorito que se llamo 110 Grill. </p><p>Gracias por tu tiempo^</p><p>AJ</p>,B2,3745323,50,T4782959,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I5,A-MM,4141,,,,2021-07-01,2-A-SE
43,EDUCATION,<p>¡Hola estudiantes en Madrid!</p><p>Hay muchas opciones de educacion en mi pueblo. Primero^ hay escuela publico. Tiene tres partes: escuela de elementary^ escuela del medio^ y colegio. Despues^ muchas personas fueron a universidad. Tambien^ hay escuela privada. Esto tiene dos partes: escuela primera y colegio. Hay muchas mas eventos en escuelas privadas de escuelas publicas. Pero^ escuelas publicos tiene mucho mas dinero tipicamente porque la pueblo o la estado dalo.</p><p>Despues de colegio^ muchas personas van a universidad para obtener un degree en su area de estudiar. Esto es muy comun en mi pueblo. A veces^ personas no van a universidad porque tienen planes diferentes. Por ejemplo^ voy a universidad en un año^ pero mi hermana no iré universidad.</p>,B2,3735737,35,Q4767573,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I4,A-SE,2278,,,,2021-07-01,2-A-SE
